Context,Context_Lemma
выбраться или выйти в люди,"выбираться или выходить в человек
"
выбраться или выйти в люди,"выбираться или выходить в человек
"
вздыбиться,"вздыбиться
"
вздор,"вздор
"
не говори вздор,"не говорить вздор
"
вкатить бочку в сарай,"вкатить бочка в сарай
"
подозвать,"подзывать
"
подогнать к (противоположной) стене,"подгонять к стена
"
подогнать к (противоположной) стене,"подгонять к стена
"
вблизи; поближе,"близко
"
она подошла к этой корове,"она подходить к этот корова
"
с близкого расстояния 2. мимо,"с близкий расстояние мимо
"
ближайший,"близкий
"
загнать скот в хлев,"загнать скот в хлев
"
хлев залило водой,"хлев заливать вода
"
подлетать (близко),"подлетать
"
замешаться; оказаться причастным к чему-л.,"оказываться причастный к
"
вмешаться; вмешиваться; совать нос куда-л.; ,"совать нос
"
лезть не в своё дело,"лезть не в свой дело
"
вмешаться в спор,"вмешиваться в спор
"
вмешаться в спор,"вмешиваться в спор
"
вмешаться в драку,"вмешиваться в драка
"
не вмешивайся в мои дела,"не вмешиваться в мой дело
"
нелюдимый,"нелюдимый
"
нелюдимый,"нелюдимый
"
не вмешивайся не в свои дела; не суй свой нос в чужие дела,"не вмешиваться не в свой не совать свой нос в чужой дело
"
а) разнять дерущихся; б) принимать участие; ,"разнимать принимать
"
привлечь; вовлечь; замешать; побудить принять участие в чём-л.; ,"побуждать принимать участие в
"
вмешиваться; лезть в чужие дела,"лезть в чужой дело
"
ввести в какое-л. общество,"вводить в общество
"
вмешивать; заставлять участвовать против воли,"заставлять участвовать против воля
"
подпустить,"подпускать
"
подпуск,"подпуск
"
приблизиться,"приближаться
"
приобщить; дать возможность приобщить;,"давать возможность
"
подослать,"подсылать
"
вылазка,"вылазка
"
оборваться; упасть куда-л,"упасть
"
влопаться в беду,"влопываться в беда
"
влопаться в беду,"влопываться в беда
"
влопаться; попасть в неприятное положение по оплошности,"попадать в неприятный положение по оплошность
"
влипнуть; попасть в скверную историю,"попадать в скверный история
"
влипнуть; попасть в скверную историю,"попадать в скверный история
"
попасть в беду,"попадать в беда
"
попасть в беду,"попадать в беда
"
втиснуть (человека),"втискивать
"
втиснуться,"втискиваться
"
слезть; сойти (с какого-л. вида транспорта),"сходить вид
"
выйти из самолёта,"выходить из самолет
"
выйти из вагона,"выходить из вагон
"
слезть с машины,"слезать с машина
"
а) вмешаться в разговор; б) вмешаться в сплетни; а) вмешаться в скандал;,"вмешиваться в вмешиваться в вмешиваться в
"
а) вмешаться в разговор; б) вмешаться в сплетни; а) вмешаться в скандал;,"вмешиваться в вмешиваться в вмешиваться в
"
вступить в брак,"вступать в брак
"
вступить в брак,"вступать в брак
"
вступить в брак,"вступать в брак
"
втянуть в беду,"втягивать в беда
"
подтянуть; приблизить что-л.,"приближать
"
впутывать; вовлечь,"вовлекать
"
впут(ыв)ать в скверную историю,"в скверный история
"
втравить; вовлечь в нежелательное дело,"вовлекать в нежелательный дело
"
вовлечение,"вовлечение
"
объятие,"объятие
"
подъехать; приблизиться,"приближаться
"
NA,"NA
"
еженедельно,"еженедельно
"
еженедельный,"еженедельный
"
еженедельник,"еженедельник
"
звучать в ушах,"звучать в ухо
"
тот; кто всех опередил; заслуживает награды ,"кто все заслуживать награда
"
сверху донизу (вниз по инстанциям),"сверху донизу по
"
сверху  ,"сверху
"
Нижний Ботлих находится недалеко от верхнего Ботлиха,"нижний ботлих находиться недалеко от верхний ботлих
"
сбросить,"сбросить
"
занизить (выработку),"занижать
"
уронить вниз,"уронить вниз
"
штабелями,"штабель
"
навалить; положить в беспорядке в большом количестве,"полагать в беспорядок в большой количество
"
наложить дров,"налагать дрова
"
навалом,"навалом
"
снизиться,"снижаться
"
низко,"низко
"
летать низко,"летать низко
"
замучить; истязать,"истязать
"
зайти в спор,"зайти в спор
"
зайти в спор,"зайти в спор
"
включая_включительно,
вывести детей в сад,"выводить ребенок в сад
"
кляча водится с клячей,"кляча водиться с кляча
"
кляча водится с клячей,"кляча водиться с кляча
"
хватать горя,"хватать горе
"
истерзать; измучить терзаниями,"измучивать терзание
"
впасть в нищету; бедствовать ,"впадать в бедствовать
"
впасть в нищету; бедствовать ,"впадать в бедствовать
"
затиснуть,"затиснуть
"
попасть под обстрел,"попадать под обстрел
"
броситься со скалы,"бросаться со скала
"
придвинуть,"придвигать
"
придвинуться,"придвигаться
"
втиснуться,"втискиваться
"
задолжать; наделать долгов; залезть в долги,"наделать залезать в долг
"
нейтиралитет,"нейтиралитет
"
нейтиралитет,"нейтиралитет
"
сохранить нейтралитет,"сохранять нейтралитет
"
войти; включиться,"включаться
"
вылезть со своим замечанием,"вылезать со свой замечание
"
войти в возраст,"входить в возраст
"
впутаться в скверную историю,"впутываться в скверный история
"
а) окружить; расположиться вокруг; б) окружить (воен.),"располагаться окружать
"
окружить рассказчика,"окружать рассказчик
"
окружить врага,"окружать враг
"
окружение,"окружение
"
общение,"общение
"
общение с людьми,"общение с человек
"
общение с людьми,"общение с человек
"
порвать знакомство,"порывать знакомство
"
затечь,"затекать
"
подбежать,"подбегать
"
а) радуга; б) Млечный путь,"млечный путь
"
цена понизилась,"цена понижаться
"
понизить цену; уценить,"понижать уценивать
"
чабаны спустились с гор,"чабан спускаться с гора
"
обуздать; взять в свои руки; заставить подчиниться,"взять в свой заставлять подчиняться
"
насыпать одно на другое,"насыпать один на другой
"
насыпать песок на дорогу,"насыпать песок на дорога
"
уронить вниз;  а) принизить; б) компрометировать,"уронить компрометировать
"
а) упасть вниз; б) оказаться внизу ; убыть; уменьшиться в уровне; понизиться; снизиться (напр.; о ценах),"упасть оказываться внизу уменьшаться в снижаться о
"
упасть вниз,"упасть вниз
"
слететь вниз; спуститься,"слетать спускаться
"
снижать цены,"снижать цена
"
расхвалить,"расхваливать
"
выйти из вагона,"выходить из вагон
"
слезть с поезда,"слезать с поезд
"
полезть; слезть; сойти,"сходить
"
вниз головой,"вниз голова
"
взглянуть на небо,"взглядывать на небо
"
донизу,"донизу
"
приспустить,"приспускать
"
спустить; снизить,"снижать
"
убыль; уменьшение уровня чего-л.,"уменьшение уровень
"
спуститься; нисходить,"нисходить
"
а) броситься на смерть (?) откуда-л.; б) прыгнуть вниз; выброситься; в) повел. умри!; г) спрыгнуть; д) кончить жизнь самоубийством; выброситься из окна,"бросаться на смерть прыгнуть кончать жизнь выбрасываться из окно
"
занизить; слишком снизить; понизить,"слишком понижать
"
вхожий,"вхожий
"
сложить (вещи где-л.),"слагать
"
провиниться,"провиниться
"
узаконить,"узаконивать
"
соскочить вниз,"соскакивать вниз
"
выброситься с парашютом (из самолёта),"выбрасываться с парашют
"
снижение заболеваемости,"снижение заболеваемость
"
подогнуть,"подгибать
"
подогнуться,"подгибаться
"
катастрофа (о транспорте);,"катастрофа
"
подбросить; бросить под что-л,"бросать под
"
опуститься; переместиться в более низкое положение,"перемещаться в более низкий положение
"
крушение,"крушение
"
до потолка,"до потолок
"
обидеться на замечание,"обижаться на замечание
"
вертикаль,"вертикаль
"
на небо,"на небо
"
космический полёт,"космический полет
"
вповалку,"вповалку
"
наклониться,"наклоняться
"
наказать,"наказывать
"
наказуемый,"наказуемый
"
наказание,"наказание
"
его надо наказать,"он надо наказывать
"
слить; смешать; налив из разных мест,"наливать из разный место
"
общаться; бывать; видеться; водиться,"водиться
"
общаться с друзьями,"общаться с друг
"
общаться с друзьями,"общаться с друг
"
лизис (в противоположность кризису),"лизис противоположность
"
жаропонижающий,"жаропонижающий
"
разжаловать,"разжаловать
"
позвать к телефону,"позвать к телефон
"
вызвать на суд,"вызывать на суд
"
вызвать на соревнование,"вызывать на соревнование
"
купить за полцены,"купить за полцены
"
оставить билет в кино,"оставлять билет в кино
"
далее; затем,"затем
"
затем полил дождь,"затем поливать дождь
"
на конце; в конце,"на в конец
"
завершить; довести до конца,"доводить до конец
"
в конце книги,"в конец книга
"
до конца,"до конец
"
завершиться,"завершаться
"
из конца в конец,"из конец в конец
"
завершение; достижение конца,"достижение конец
"
пять дней осталось до твоего отъезда в Москву,"пять день оставаться до твой отъезд в москва
"
а) лечь в постель б) перен. слечь; заболеть,"ложиться в постель заболевать
"
засунуть руку в карман,"засовывать рука в карман
"
залезть в карман,"залезать в карман
"
насыпать муку в мешок,"насыпать мука в мешок
"
по любой цене,"по любой цена
"
я ходил в баню,"я ходить в баня
"
выкатиться,"выкатиться
"
натаскать мешков в подвал,"натаскивать мешок в подвал
"
погладить брюки,"погладить брюки
"
я не хочу; чтобы именно он был;,"я не чтобы именно он
"
дать объявление в газету,"давать объявление в газета
"
Наш агроном пошел в сад,"наш агроном пойти в сад
"
Сегодня я ходил в амбулаторию,"сегодня я ходить в амбулатория
"
отправить в отставку,"отправлять в отставка
"
а) дойти до конца; б) перен. быть при смерти; умирать,"доходить до быть при умирать
"
его жизнь на волоске,"его жизнь на волосок
"
законченный; доведённый до конца,"доводить до конец
"
законченный; доведённый до конца,"доводить до конец
"
вскинуть винтовку на спину (на плечо),"вскидывать винтовка на спина
"
положить мешок на спину ослу,"полагать мешок на спина осел
"
грязи (лечебные); ,"грязь
"
понять до конца,"понимать до конец
"
вдеть нитку в иголку,"вдевать нитка в иголка
"
вступить в законную силу,"вступать в законный сила
"
этим дело не исчерпывается,"это дело не исчерпываться
"
вытащить мешок во двор,"вытаскивать мешок во двор
"
волосы вылезли из-под папахи,"волос вылезать папаха
"
волосы вылезли из-под папахи,"волос вылезать папаха
"
достигнуть леса,"достигать лес
"
уехать на курорт,"уезжать на курорт
"
выбраться в театр,"выбираться в театр
"
влопаться в грязь,"влопываться в грязь
"
ввалиться в яму,"вваливаться в яма
"
влопаться; попасть во что-л. нечаянно,"попадать во нечаянно
"
переехать в новый дом,"переезжать в новый дом
"
поступить в институт,"поступать в институт
"
вступить в комсомол,"вступать в комсомол
"
вступить в партию,"вступать в партия
"
вступить в бой,"вступать в бой
"
вступить в разговор,"вступать в разговор
"
вызваться в разведку,"вызываться в разведка
"
восшествие на престол,"восшествие на престол
"
там,"там
"
