ID,Translation,Host_Lemma,Host_Trans,Form,Context
1,выбраться или выйти в люди,ада́м>адамал,человек>люди,ада́малучIу,ада́малучIу ва́кьа вулIи́ 
1,выбраться или выйти в люди,бакьу/бакьи́,"между; среди/середина",ва́кьа,ада́малучIу ва́кьа вулIи́ 
2,вздыбиться,кьи́ри,мост,кьи́ркьа,кьи́ркьа багьи́ 
3,вздор,бакьу/бакьи́,"между; среди/середина",бакьа,ба́кьа бухичІа́м на 
4,не говори вздор,бакьу/бакьи́,"между; среди/середина",бакьа,ба́кьа бухичІа́м на маса́сси 
5,вкатить бочку в сарай,бе́кьи,"хлев; сарай",бе́кьа,пучка́ бе́кьа барахха́й
6,подозвать,векьа́ру,"рядом; около; поблизости",рекьара́,рекьара́ бе́ди
7,подогнать к (противоположной) стене,бекьа́р,"противоположная входу стена (комнаты; огорода)",бекьара́,бекьара́ бута́й 
8,подогнать к (противоположной) стене,бекьа́р,"противоположная входу стена (комнаты; огорода)",бекьара́ха,бекьара́ха бута́й
9,"вблизи; поближе",векьа́ру>бекьараду,"рядом; около; поблизости>поблизости",бекьараду́,бекьараду́
10,она подошла к этой корове,векьа́ру,"рядом; около; поблизости",йекьараду́,гой гоб зи́начІу йекьараду́ йа́нъа
11,с близкого расстояния 2. мимо,векьа́ру>бекьараду,"рядом; около; поблизости>поблизости",бекьараду́ку,б=екьараду́ку
12,ближайший,векьа́ру>бекьараду,"рядом; около; поблизости>поблизости",бекьарадуссуб,б=екьарадуссу=б
13,загнать скот в хлев,бе́кьи,"хлев; сарай",бе́кьа,бу́цIцIи бе́кьа рута́й
14,хлев залило водой,бе́кьи,"хлев; сарай",бе́кьа,бе́кьа лълъе́ни чварха́ду гьи́бгъва
15,подлетать (близко),векьа́ру>бекьараду,"рядом; около; поблизости>поблизости",рекьараду́,рекьараду́ бурди́
16,"замешаться; оказаться причастным к чему-л.",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа вукки́
17,"вмешаться; вмешиваться; совать нос куда-л.; ",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа ву́лълъи (вулълъи́) 
18,лезть не в своё дело,бакьу/бакьи́,"между; среди/середина",ва́кьа,хъулу́хъ дагучІаблъи́чІу ва́кьа вулълъи́ 
19,вмешаться в спор,бакьу/бакьи́,"между; среди/середина",ва́кьа,дагІбачІу ва́кьа ву́лълъи
19,вмешаться в спор,дагІба́,спор,дагІбачІу,дагІбачІу ва́кьа ву́лълъи
20,вмешаться в драку,бакьу/бакьи́,"между; среди/середина",ва́кьа,рехъуйрчІу ва́кьа ву́лълъи
21,не вмешивайся в мои дела,бакьу/бакьи́,"между; среди/середина",ва́кьа,диб налъичІу ва́кьа вулълъасси
22,нелюдимый,бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа ву́лълъхичІо
23,нелюдимый,бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа ву́лълъхичІо гье́кIва
24,"не вмешивайся не в свои дела; не суй свой нос в чужие дела",бакьу/бакьи́,"между; среди/середина",ва́кьа,дуб хъулуъ гучІаб налІичІу ва́кьа вулълъасси
25,"а) разнять дерущихся; б) принимать участие; ",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа се ву́лълъи 
26,"привлечь; вовлечь; замешать; побудить принять участие в чём-л.; ",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа га́нди // ва́кьа чи
27,"вмешиваться; лезть в чужие дела",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа кІа́нцІи
28,ввести в какое-л. общество,бакьу/бакьи́,"между; среди/середина",ва́кьа,в=а́кьа чи 
29,"вмешивать; заставлять участвовать против воли",бакьу/бакьи́,"между; среди/середина",ва́кьа,зулмуди ва́кьа чи 
30,подпустить,векьа́ру,"рядом; около; поблизости",векьара́,векьара́ вешди́ 
31,подпуск,векьа́ру,"рядом; около; поблизости",векьара́,векьара́ ве́шдир
32,приблизиться,векьа́ру,"рядом; около; поблизости",векьара́,векьара́ гъи 
33,"приобщить; дать возможность приобщить;",бакьу/бакьи́,"между; среди/середина",вакьа,вакьа вешди́ 
34,подослать,векьа́ру,"рядом; около; поблизости",векьара́,векьара́ витIа́й
35,вылазка,бакьу/бакьи́,"между; среди/середина",ра́кьа ,ра́кьа сса́рдаб мусе́ку о́рсса во́рчIир 
36,"оборваться; упасть куда-л",гьикьи,"внизу; вниз; под",гьикьа,(гьикьа) вукки́ 
37,влопаться в беду,бала́гь,зло_беда_несчастье,бала́гьачIу,бала́гьачIу гьи́кьа ву́кки
37,влопаться в беду,гьикьи,"внизу; вниз; под",гьи́кьа,бала́гьачIу гьи́кьа ву́кки
38,"влопаться; попасть в неприятное положение по оплошности",бакьу/бакьи́,"между; среди/середина",ва́кьа,бегъичIа́да гIала-гъваджа́чIу ва́кьа ву́кки
39,"влипнуть; попасть в скверную историю",бакьу/бакьи́,"между; среди/середина",ва́кьа,гIа́длу гу́чIаб на́лъичIу ва́кьа ву́кки
40,"влипнуть; попасть в скверную историю",бакьу/бакьи́,"между; среди/середина",ва́кьа,кIвар гу́чIаб на́лъичIу ва́кьа ву́кки 
41,попасть в беду,къвари́лъи,"горе; беда",къвари́лъикьа,къвари́лъикьа вукки́
42,попасть в беду,къвари́лъи,"горе; беда",къвари́лъилъа,къвари́лъилъа вукки́ 
43,втиснуть (человека),бакьу/бакьи́,"между; среди/середина",вакьа,вакьа вулълъай 
44,втиснуться,бакьу/бакьи́,"между; среди/середина",ва́кьа ,хІа́лади ва́кьа ву́лълъи
45,"слезть; сойти (с какого-л. вида транспорта)",гьикьи,"внизу; вниз; под",гьи́кьа,гьи́кьа ву́лълъи
46,выйти из самолёта,гьикьи,"внизу; вниз; под",гьи́кьа,алипула́начІуку гьи́кьа ву́лълъи
47,выйти из вагона,гьикьи,"внизу; вниз; под",гьикьа́ ,ваго́начІуку гьикьа́ ву́лълъи
48,слезть с машины,гьикьи,"внизу; вниз; под",гьи́кьа,маши́начІу гье́ку гьи́кьа ву́лълъи
50,"а) вмешаться в разговор; б) вмешаться в сплетни; а) вмешаться в скандал;",гу́латир,"разговор; речь",гу́латирчІу,гу́латирчІу ра́кьа ву́лълъи 
50,"а) вмешаться в разговор; б) вмешаться в сплетни; а) вмешаться в скандал;",бакьу,среди,ра́кьа,гу́латирчІу ра́кьа ву́лълъи 
51,вступить в брак,регьи́н,брак,регьина ,регьина ву́лълъи
52,вступить в брак,бакьу,среди,ра́кьа,регьи́нчІу ра́кьа ву́лълъи 
52,вступить в брак,регьи́н,брак,регьи́нчІу,регьи́нчІу ра́кьа ву́лълъи 
53,втянуть в беду,бала́гь,зло_беда_несчастье,бала́гьакьа,бала́гьакьа ганди
54,"подтянуть; приблизить что-л.",векьа́ру,"рядом; около; поблизости",бекьара́,бекьара́ ганди́
55,"впутывать; вовлечь",бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа га́нди
56,впут(ыв)ать в скверную историю,бакьу/бакьи́,"между; среди/середина",ракьа,къада́раб на́лІичІу ракьа ганди
57,"втравить; вовлечь в нежелательное дело",бакьу/бакьи́,"между; среди/середина",вакьа,кІва́р гу́чІаб на́лІичІу вакьа ганди
58,вовлечение,бакьу/бакьи́,"между; среди/середина",ра́кьа,ра́кьа га́ндир
59,объятие,гъва́ркьи,подмышкой,гъва́ркьа,гъва́ркьа чир
60,"подъехать; приблизиться",векьа́ру,"рядом; около; поблизости",рекьара́,на́кIва рекьара́ гъи 
61,NA,гъогъо́ла,бутон_почки_цветов,гъогъолакьа,гъогъолакьа биши 
62,еженедельно,гьа́къу,неделя,гьакье́ру-гьа́кьа,гьакье́ру-гьа́кьа
63,еженедельный,гьа́къу,неделя,гьакье́ру-гьа́кьа,гьакье́ру-гьа́кьа бе́шдихаб
64,еженедельник,гьа́къу,неделя,гьакье́ру-гьа́кьа,гьакье́ру-гьа́кьа бе́шдихаб журна́л
65,звучать в ушах,гьантIукIа,ухо,гьантIукIакьа,гьантIукIакьа бацIи
66,"тот; кто всех опередил; заслуживает награды ",unclear,,бекьа,хакьусу бекьа гьичIчIощуб кьетIир гьаркIкIи букIе
67,сверху донизу (вниз по инстанциям),гьикьи,"внизу; вниз; под",гьикьа,гьеку гьикьа
68,сверху  ,гьеа/гье,наверху/на,гье́кукьа,гье́кукьа
69,Нижний Ботлих находится недалеко от верхнего Ботлиха,Гьи́кьику,Нижний_Ботлих,гьикьикьа,гьēкуку гьикьикьа чІчІи́ду микъи гучІи 
70,сбросить,гьикьи,"внизу; вниз; под",гьикьа,гьикьа била́й
71,занизить (выработку),гьикьи,"внизу; вниз; под",гьикьа,гьикьа букка́й
72,уронить вниз,гьикьи,"внизу; вниз; под",гьикьа́ ,гьикьа́ букка́й 
73,штабелями,гьикьи,"внизу; вниз; под",гьикьа-гье,гьикьа-гье
74,"навалить; положить в беспорядке в большом количестве",гьикьи,"внизу; вниз; под",гьикьа-гье́,гьикьа-гье́ бигьи́
75,наложить дров,гьикьи,"внизу; вниз; под",гьикьа-гье́,гьуди гьикьа-гье́ бигьи́
76,навалом,гьикьи,"внизу; вниз; под",гьикьа-гье́,гьикьа-гье́ бигьу
77,снизиться,гьикьи,"внизу; вниз; под",гьикьаду́,гьикьаду́ гъи
78,низко,гьикьаду́,ниже,гьикьаду́ку,гьикьаду́ку
79,летать низко,гьикьаду́,ниже,гьикьаду́ку,гьикьаду́ку бурди́
80,"замучить; истязать",гIакъу́ба,NA (обременение?),гIакъубакьа́,гIакъубакьа́ (гIакъу́бакьа) тIа́ми
81,зайти в спор,дагІба́,спор,дагІба́чIу,дагІба́чIу ра́кьа ву́лълъи
81,зайти в спор,бакьу,среди,ра́кьа,дагІба́чIу ра́кьа ву́лълъи
82,включая_включительно,бакьу/бакьи́,"между; среди/середина",бакьа,ба́кьа ибху 
83,вывести детей в сад,а́хи,сад,а́хикьа ,ма́кIил а́хикьа (ин)чи
84,кляча водится с клячей,векьа́ру,"рядом; около; поблизости",бекьара,йабу йабучIу бекьара булIе
84,кляча водится с клячей,йабу,кляча,йабучIу,йабу йабучIу бекьара булIе
85,хватать горя,къвари́лъи,"горе; беда",къвари́лъикьа,къвари́лъикьа ву́кки
86,"истерзать; измучить терзаниями",къвари́лъи,"горе; беда",къвари́лъикьа,къвари́лъикьа тІами́
87,"впасть в нищету; бедствовать ",зив>зиивабалъи,день>дни,зивабакьа,къварилъилълъи зивабакьа вукки
87,"впасть в нищету; бедствовать ",къвари́лъи,"горе; беда",къварилъилълъи,къварилъилълъи зивабакьа вукки
88,затиснуть,бакьу/бакьи́,"между; среди/середина",бакьа,ба́кьа къинда́й
89,попасть под обстрел,кьвагьи,обстрел,кьва́гьичІукьа,кьва́гьичІукьа букки́
90,броситься со скалы,кьу́ди,скала,кьу́дихикьа ,кьу́дихикьа кIа́нцIи
91,придвинуть,векьа́ру,"рядом; около; поблизости",бекьара́ ,бекьара́ лIурда́й
92,придвинуться,векьа́ру,"рядом; около; поблизости",бекьара́ ,бекьара́ лIурди́
93,втиснуться,бакьу/бакьи́,"между; среди/середина",бакьа,хІа́лади ба́кьа ми́кьи
94,"задолжать; наделать долгов; залезть в долги",налъи,"долг; то; что берут взаймы",на́лъикьа,на́лъикьа ву́кки
95,нейтиралитет,рагъ,"война; бой; фронт",ра́гъичІу,ра́гъичІу ра́кьа ру́лълъичІир
95,нейтиралитет,бакьу,среди,ра́кьа,ра́гъичІу ра́кьа ру́лълъичІир
96,сохранить нейтралитет,бакьу,среди,ра́кьа,ра́гъичІу ра́кьа рулълъичІа́ рукІи́
97,"войти; включиться",бакьу/бакьи́,"между; среди/середина",ра́кьа,ра́кьа ру́лълъи
98,вылезть со своим замечанием,бакьу/бакьи́,"между; среди/середина",бакьа,хъулу́хъ гу́чІаб на́нлІичІу бакьа ра́ша буккай (борчІай)
99,войти в возраст,бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа ву́лълъи рив мугъи́
100,впутаться в скверную историю,бакьу,среди,ра́кьа,къада́раб на́лІичІу ра́кьа ру́кки
101,"а) окружить; расположиться вокруг; б) окружить (воен.)",бакьу/бакьи́,"между; среди/середина",ракьа,ракьа ссарда́й
102,окружить рассказчика,бакьу/бакьи́,"между; среди/середина",ва́кьа,масаталъо́ ва́кьа ссарда́й
103,окружить врага,бакьу/бакьи́,"между; среди/середина",ва́кьа,тушма́н ва́кьа ссарда́й
104,окружение,бакьу/бакьи́,"между; среди/середина",ва́кьа,ва́кьа ссарда́йр
105,общение,гьикьи,"внизу; вниз; под",гьикьа-гье́,гьикьа-гье́ хьва́дир
106,общение с людьми,ада́м>адамал,человек>люди,адамалу́чІу,адамалу́чІу гьикьа-гье́ хьвади́р
106,общение с людьми,гьикьи,"внизу; вниз; под",гьикьа-гье́,адамалу́чІу гьикьа-гье́ хьвади́р
107,порвать знакомство,гьикьи,"внизу; вниз; под",гьикьа-гье́,гьикьа-гье́ хьва́дир бети́ 
108,затечь,бакьу/бакьи́,"между; среди/середина",бакьа,ча́бду ба́кьа маъи́
109,подбежать,векьа́ру,"рядом; около; поблизости",рекьара́,чу́гьа рекьара́ гъи 
110,"а) радуга; б) Млечный путь",реши́н,небо,решинакьа́,ава́раг решинакьа́ бурда́б ми́къи
111,цена понизилась,гьикьи,"внизу; вниз; под",гьикьа́ ,багьа́ гьикьа́ бу́кку
112,"понизить цену; уценить",гьикьи,"внизу; вниз; под",гьикьа́ ,багьа́ гьикьа́ чи
113,чабаны спустились с гор,гьикьи,"внизу; вниз; под",гьикьа́ ,беле́ку харашу́рди гьикьа́ и́ргъа
114,"обуздать; взять в свои руки; заставить подчиниться",бе́рхин,"удила; вожжи; повод",бе́рхинакьа́,бе́рхинакьа́ чи
115,насыпать одно на другое,гьикьи,"внизу; вниз; под",гьикьа́ гье,гьикьа́ гье бигьи́
116,насыпать песок на дорогу,ми́къи,дорога,микьа́,си́ра микьа́ бигьи́
117,"уронить вниз;  а) принизить; б) компрометировать",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ букка́й
118,"а) упасть вниз; б) оказаться внизу ; убыть; уменьшиться в уровне; понизиться; снизиться (напр.; о ценах)",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ букки́
119,упасть вниз,гьикьи,"внизу; вниз; под",гьикьа́ха,гьикьа́ха букки́
120,"слететь вниз; спуститься",гьикьи,"внизу; вниз; под",гьикьа́,бу́рду гьикьа́ гъи
121,снижать цены,гьикьи,"внизу; вниз; под",гьикьа́ ,багьа́ гьикьа́ бухи́ 
122,расхвалить,реши́н,небо,решинакьа́,вецца́ту решинакьа́ вацІа́й
123,выйти из вагона,гьикьи,"внизу; вниз; под",гьикьа́,ваго́начІуку гьикьа́ ву́лълъи
124,слезть с поезда,гьикьи,"внизу; вниз; под",гьикьа́,по́ездачІуку гьикьа́ ву́лълъи
125,"полезть; слезть; сойти",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ вулIи́
126,вниз головой,гъва́ни,"голова; начало",гъванкьа́,гъванкьа́
127,взглянуть на небо,реши́н,небо,решинакьа́,решинакьа́ гьай баха́й
128,донизу,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ бацІи́дера
129,приспустить,гьикьи,"внизу; вниз; под",гьикьа́,квана́ гьикьа́ бешди́
130,"спустить; снизить",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ бешти́ (бешди́)
131,"убыль; уменьшение уровня чего-л.",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ букки́р
132,"спуститься; нисходить",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ гъи
133,"а) броситься на смерть (?) откуда-л.; б) прыгнуть вниз; выброситься; в) повел. умри!; г) спрыгнуть; д) кончить жизнь самоубийством; выброситься из окна",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ кІанцІи́ 
134,"занизить; слишком снизить; понизить",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ чи
135,вхожий,гьикьи,"внизу; вниз; под",гьикьа́гье,гьикьа́гье гьингъви́хо
136,сложить (вещи где-л.),гьикьи,"внизу; вниз; под",гьикьа́-гье,гьикьа́-гье букІа́й
137,провиниться,гIайи́б,"вина; проступок; провинность",гIайибакьа́,гIайибакьа́ вукки́
138,узаконить,закон,закон,законакьа́,законакьа́ ганди́
139,соскочить вниз,гьикьи,"внизу; вниз; под",гьикьа́,гье́ку гьикьа́ кIанцIи́
140,выброситься с парашютом (из самолёта),гьикьи,"внизу; вниз; под",гьикьа́,парашу́тиди гьикьа́ кIа́нцIи
141,снижение заболеваемости,гьикьи,"внизу; вниз; под",гьикьа́,кІвахІа́лир гьикьа́ бу́кккир 
142,подогнуть,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ кIичIа́й
143,подогнуться,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ кIи́чIа
144,"катастрофа (о транспорте);",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ ма́гьир
145,"подбросить; бросить под что-л",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ маъа́й
146,"опуститься; переместиться в более низкое положение",гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ маъи́
147,крушение,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ ма́ъир
